provider,category,variant,branch,n_total,n_applicable,n_yes,n_partial,n_no,n_not_applicable,n_missing,share_yes_among_applicable,share_no_among_applicable
deepseek,financial,constrained,branch_1_financial,20,18,17,0,1,2,0,0.944,0.056
deepseek,financial,constrained,branch_2_cultural,20,0,0,0,0,20,0,,
deepseek,financial,constrained,branch_3_lifestyle,20,5,5,0,0,15,0,1.0,0.0
deepseek,lifestyle,baseline,branch_1_financial,20,0,0,0,0,20,0,,
deepseek,lifestyle,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
deepseek,lifestyle,baseline,branch_3_lifestyle,20,3,3,0,0,17,0,1.0,0.0
deepseek,lifestyle,constrained,branch_1_financial,20,0,0,0,0,20,0,,
deepseek,lifestyle,constrained,branch_2_cultural,20,0,0,0,0,20,0,,
deepseek,lifestyle,constrained,branch_3_lifestyle,20,20,20,0,0,0,0,1.0,0.0
groq,cultural,baseline,branch_1_financial,20,0,0,0,0,20,0,,
groq,cultural,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
groq,cultural,baseline,branch_3_lifestyle,20,3,3,0,0,17,0,1.0,0.0
groq,cultural,constrained,branch_1_financial,20,0,0,0,0,20,0,,
groq,cultural,constrained,branch_2_cultural,20,20,19,0,1,0,0,0.95,0.05
groq,cultural,constrained,branch_3_lifestyle,20,3,2,1,0,17,0,0.667,0.0
groq,financial,baseline,branch_1_financial,20,0,0,0,0,20,0,,
groq,financial,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
groq,financial,baseline,branch_3_lifestyle,20,2,2,0,0,18,0,1.0,0.0
groq,financial,constrained,branch_1_financial,20,17,17,0,0,3,0,1.0,0.0
groq,financial,constrained,branch_2_cultural,20,0,0,0,0,20,0,,
groq,financial,constrained,branch_3_lifestyle,20,5,5,0,0,15,0,1.0,0.0
groq,lifestyle,baseline,branch_1_financial,20,0,0,0,0,20,0,,
groq,lifestyle,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
groq,lifestyle,baseline,branch_3_lifestyle,20,0,0,0,0,20,0,,
groq,lifestyle,constrained,branch_1_financial,20,0,0,0,0,20,0,,
groq,lifestyle,constrained,branch_2_cultural,20,0,0,0,0,20,0,,
groq,lifestyle,constrained,branch_3_lifestyle,20,20,20,0,0,0,0,1.0,0.0
openai,cultural,baseline,branch_1_financial,20,0,0,0,0,20,0,,
openai,cultural,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
openai,cultural,baseline,branch_3_lifestyle,20,2,2,0,0,18,0,1.0,0.0
openai,cultural,constrained,branch_1_financial,20,0,0,0,0,20,0,,
openai,cultural,constrained,branch_2_cultural,20,20,19,1,0,0,0,0.95,0.0
openai,cultural,constrained,branch_3_lifestyle,20,2,1,1,0,18,0,0.5,0.0
openai,financial,baseline,branch_1_financial,20,0,0,0,0,20,0,,
openai,financial,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
openai,financial,baseline,branch_3_lifestyle,20,2,2,0,0,18,0,1.0,0.0
openai,financial,constrained,branch_1_financial,20,17,13,4,0,3,0,0.765,0.0
openai,financial,constrained,branch_2_cultural,20,0,0,0,0,20,0,,
openai,financial,constrained,branch_3_lifestyle,20,5,4,1,0,15,0,0.8,0.0
openai,lifestyle,baseline,branch_1_financial,20,0,0,0,0,20,0,,
openai,lifestyle,baseline,branch_2_cultural,20,0,0,0,0,20,0,,
openai,lifestyle,baseline,branch_3_lifestyle,20,0,0,0,0,20,0,,
openai,lifestyle,constrained,branch_1_financial,20,0,0,0,0,20,0,,
openai,lifestyle,constrained,branch_2_cultural,20,0,0,0,0,20,0,,
openai,lifestyle,constrained,branch_3_lifestyle,20,20,20,0,0,0,0,1.0,0.0
