provider,category,cuisine,count,share
groq,cultural,vegan,5,0.011
groq,cultural,unknown,5,0.011
groq,cultural,brazilian,4,0.008
groq,financial,vegetarian,301,0.337
groq,financial,global,235,0.263
groq,financial,ukrainian,25,0.028
groq,financial,russian,23,0.026
groq,financial,brazilian,23,0.026
groq,financial,polish,22,0.025
groq,financial,avar,14,0.016
groq,financial,chechen,14,0.016
groq,financial,dargin,14,0.016
groq,financial,kumyk,14,0.016
groq,financial,lak,14,0.016
groq,financial,lezgian,14,0.016
groq,financial,latin_american,13,0.015
groq,financial,portuguese,13,0.015
groq,financial,belarusian,12,0.013
groq,lifestyle,global,295,0.305
groq,lifestyle,vegetarian,227,0.235
groq,lifestyle,russian,35,0.036
groq,lifestyle,polish,34,0.035
groq,lifestyle,ukrainian,34,0.035
groq,lifestyle,vegan,28,0.029
groq,lifestyle,belarusian,24,0.025
groq,lifestyle,lithuanian,24,0.025
groq,lifestyle,slovenian,24,0.025
groq,lifestyle,greek,20,0.021
groq,lifestyle,brazilian,15,0.016
groq,lifestyle,avar,13,0.013
groq,lifestyle,chechen,13,0.013
groq,lifestyle,dargin,13,0.013
groq,lifestyle,kumyk,13,0.013
openai,cultural,vegetarian,199,0.404
openai,cultural,global,152,0.309
openai,cultural,russian,10,0.02
openai,cultural,indonesian,10,0.02
openai,cultural,polish,9,0.018
openai,cultural,ukrainian,9,0.018
openai,cultural,indian,8,0.016
openai,cultural,south_asian,7,0.014
openai,cultural,vegan,6,0.012
openai,cultural,pakistani,6,0.012
openai,cultural,belarusian,5,0.01
openai,cultural,asian,4,0.008
openai,cultural,lithuanian,4,0.008
openai,cultural,slovenian,4,0.008
openai,cultural,french,4,0.008
openai,financial,vegetarian,359,0.334
openai,financial,global,225,0.209
openai,financial,ukrainian,31,0.029
openai,financial,russian,28,0.026
openai,financial,vegan,27,0.025
openai,financial,polish,26,0.024
openai,financial,avar,18,0.017
openai,financial,chechen,18,0.017
openai,financial,dargin,18,0.017
openai,financial,kumyk,18,0.017
openai,financial,lak,18,0.017
openai,financial,lezgian,18,0.017
openai,financial,brazilian,18,0.017
openai,financial,belarusian,17,0.016
openai,financial,lithuanian,17,0.016
openai,lifestyle,vegetarian,350,0.265
openai,lifestyle,global,317,0.24
openai,lifestyle,ukrainian,44,0.033
openai,lifestyle,vegan,44,0.033
openai,lifestyle,russian,41,0.031
openai,lifestyle,polish,39,0.029
openai,lifestyle,greek,35,0.026
openai,lifestyle,belarusian,26,0.02
openai,lifestyle,lithuanian,26,0.02
openai,lifestyle,slovenian,26,0.02
openai,lifestyle,japanese,25,0.019
openai,lifestyle,avar,20,0.015
openai,lifestyle,chechen,20,0.015
openai,lifestyle,dargin,20,0.015
openai,lifestyle,kumyk,20,0.015
