code,activity_name,category,met_value,source,snapshot_date
03021,"aerobic dance, high impact",dancing,7.3,compendium_2024,2024-01
03025,zumba,dancing,6.5,compendium_2024,2024-01
03040,"ballroom dancing, slow",dancing,3.0,compendium_2024,2024-01
03045,"ballroom dancing, fast",dancing,5.5,compendium_2024,2024-01
06020,"cleaning, light",home_activities,2.5,compendium_2024,2024-01
06030,"cleaning, vigorous",home_activities,3.5,compendium_2024,2024-01
06040,cooking,home_activities,3.3,compendium_2024,2024-01
06050,"gardening, general",home_activities,3.8,compendium_2024,2024-01
08010,"running, 5 mph (12 min/mile)",running,8.3,compendium_2024,2024-01
08015,"running, 6 mph (10 min/mile)",running,9.8,compendium_2024,2024-01
08020,"running, 7 mph (8.5 min/mile)",running,11.0,compendium_2024,2024-01
08025,"running, 8 mph (7.5 min/mile)",running,11.8,compendium_2024,2024-01
08030,"jogging, general",running,7.0,compendium_2024,2024-01
08040,"running on a treadmill, general",running,9.0,compendium_2024,2024-01
09020,"basketball, game",sports,8.0,compendium_2024,2024-01
09025,"basketball, shooting baskets",sports,4.5,compendium_2024,2024-01
09030,"soccer, casual",sports,7.0,compendium_2024,2024-01
09035,"soccer, competitive",sports,10.0,compendium_2024,2024-01
09040,"tennis, doubles",sports,6.0,compendium_2024,2024-01
09045,"tennis, singles",sports,8.0,compendium_2024,2024-01
09050,"swimming, leisurely",sports,6.0,compendium_2024,2024-01
09055,"swimming, laps, freestyle, slow",sports,5.8,compendium_2024,2024-01
09060,"swimming, laps, freestyle, fast",sports,10.0,compendium_2024,2024-01
09075,kickboxing,sports,10.3,compendium_2024,2024-01
09080,"martial arts, general",sports,10.3,compendium_2024,2024-01
09085,"rock climbing, general",sports,8.0,compendium_2024,2024-01
09105,"volleyball, casual",sports,4.0,compendium_2024,2024-01
11010,"walking, 2.0 mph, level, slow",walking,2.8,compendium_2024,2024-01
11015,"walking, 2.8 mph, level, moderate pace",walking,3.5,compendium_2024,2024-01
11020,"walking, 3.5 mph, level, brisk",walking,4.3,compendium_2024,2024-01
11025,"walking, 4.0 mph, level, very brisk",walking,5.0,compendium_2024,2024-01
11030,"walking, uphill, 3.5 mph",walking,6.0,compendium_2024,2024-01
11050,"hiking, cross-country",walking,5.3,compendium_2024,2024-01
12010,water aerobics,water,5.3,compendium_2024,2024-01
13010,snow shoveling,winter,5.3,compendium_2024,2024-01
14010,"religious activities, sitting",religious,1.5,compendium_2024,2024-01
14015,"religious activities, kneeling, standing",religious,2.0,compendium_2024,2024-01
15010,"occupation, sitting (desk job)",occupation,1.5,compendium_2024,2024-01
15015,"occupation, standing, light",occupation,2.5,compendium_2024,2024-01
15020,"occupation, standing, manual labor",occupation,4.5,compendium_2024,2024-01
15025,"farm work, manual",occupation,5.5,compendium_2024,2024-01
16010,sleeping,self_care,0.95,compendium_2024,2024-01
16015,sitting quietly,self_care,1.3,compendium_2024,2024-01
_custom_jumping_jacks,jumping jacks,conditioning,8.0,estimate_from_02012,2024-01
_custom_burpees,burpees,conditioning,8.0,estimate_from_02012,2024-01
_custom_mountain_climbers,mountain climbers,conditioning,8.0,estimate_from_02012,2024-01
_custom_lunges,lunges,conditioning,5.0,estimate_from_02022,2024-01
_custom_squats,squats,conditioning,5.0,estimate_from_02022,2024-01
_custom_plank,plank,conditioning,3.8,estimate_from_02085,2024-01
_custom_push_ups,push-ups,conditioning,3.8,estimate_from_02085,2024-01
_custom_sit_ups,sit-ups,conditioning,3.8,estimate_from_02085,2024-01
_custom_pull_ups,pull-ups,conditioning,8.0,estimate_from_02012,2024-01
_custom_sun_salutation,sun salutation,conditioning,3.0,estimate_from_02061,2024-01
_custom_stair_climbing,stair climbing,conditioning,8.8,estimate_from_02050,2024-01
_custom_jump_rope_mod,"jump rope, moderate",conditioning,11.0,estimate_local,2024-01
_custom_warm_up,warm-up,conditioning,3.0,estimate_from_02080,2024-01
_custom_cool_down,cool-down,conditioning,2.5,estimate_from_02080,2024-01
_custom_irish_step_dance,irish step dancing,dancing,7.5,estimate_from_03021,2024-01
_custom_ceilidh,ceilidh dancing,dancing,5.5,estimate_from_03020,2024-01
