provider,category,cuisine,count,share
deepseek,financial,avar,10,0.027
deepseek,financial,chechen,10,0.027
deepseek,financial,dargin,10,0.027
deepseek,financial,kumyk,10,0.027
deepseek,financial,lak,10,0.027
deepseek,financial,lezgian,10,0.027
deepseek,financial,russian,9,0.024
deepseek,financial,ukrainian,9,0.024
deepseek,financial,polish,7,0.019
deepseek,financial,vegan,7,0.019
deepseek,financial,belarusian,6,0.016
deepseek,financial,lithuanian,6,0.016
deepseek,financial,slovenian,6,0.016
deepseek,lifestyle,vegetarian,104,0.269
deepseek,lifestyle,global,85,0.22
deepseek,lifestyle,ukrainian,18,0.047
deepseek,lifestyle,russian,15,0.039
deepseek,lifestyle,polish,14,0.036
deepseek,lifestyle,vegan,12,0.031
deepseek,lifestyle,greek,11,0.028
deepseek,lifestyle,belarusian,9,0.023
deepseek,lifestyle,lithuanian,9,0.023
deepseek,lifestyle,slovenian,9,0.023
deepseek,lifestyle,brazilian,7,0.018
deepseek,lifestyle,avar,6,0.016
deepseek,lifestyle,chechen,6,0.016
deepseek,lifestyle,dargin,6,0.016
deepseek,lifestyle,kumyk,6,0.016
groq,cultural,vegetarian,80,0.37
groq,cultural,global,52,0.241
groq,cultural,indian,14,0.065
groq,cultural,indonesian,6,0.028
groq,cultural,south_asian,5,0.023
groq,cultural,british,5,0.023
groq,cultural,canadian,5,0.023
groq,cultural,cuisine_of_the_united_states,5,0.023
groq,cultural,russian,4,0.019
groq,cultural,south_indian,3,0.014
groq,cultural,ukrainian,3,0.014
groq,cultural,polish,3,0.014
groq,cultural,west_african_nigerian,2,0.009
groq,cultural,belarusian,2,0.009
groq,cultural,lithuanian,2,0.009
groq,financial,global,95,0.277
groq,financial,vegetarian,92,0.268
groq,financial,brazilian,11,0.032
groq,financial,russian,10,0.029
groq,financial,polish,9,0.026
groq,financial,ukrainian,9,0.026
groq,financial,latin_american,9,0.026
groq,financial,portuguese,9,0.026
groq,financial,belarusian,7,0.02
groq,financial,lithuanian,7,0.02
groq,financial,slovenian,7,0.02
groq,financial,avar,7,0.02
groq,financial,chechen,7,0.02
groq,financial,dargin,7,0.02
groq,financial,kumyk,7,0.02
groq,lifestyle,global,153,0.357
groq,lifestyle,vegetarian,100,0.233
groq,lifestyle,vegan,14,0.033
groq,lifestyle,russian,13,0.03
groq,lifestyle,polish,12,0.028
groq,lifestyle,ukrainian,12,0.028
groq,lifestyle,greek,11,0.026
groq,lifestyle,belarusian,10,0.023
groq,lifestyle,lithuanian,10,0.023
groq,lifestyle,slovenian,10,0.023
groq,lifestyle,levantine,7,0.016
groq,lifestyle,palestinian,7,0.016
groq,lifestyle,syrian,7,0.016
groq,lifestyle,japanese,6,0.014
groq,lifestyle,mexican,5,0.012
openai,cultural,vegetarian,91,0.423
openai,cultural,global,61,0.284
openai,cultural,indian,8,0.037
openai,cultural,south_asian,6,0.028
openai,cultural,indonesian,6,0.028
openai,cultural,pakistani,5,0.023
openai,cultural,polish,4,0.019
openai,cultural,russian,4,0.019
openai,cultural,ukrainian,3,0.014
openai,cultural,yoruba,2,0.009
openai,cultural,vegan,2,0.009
openai,cultural,chinese,2,0.009
openai,cultural,asian,2,0.009
openai,cultural,british,2,0.009
openai,cultural,canadian,2,0.009
openai,financial,vegetarian,143,0.32
openai,financial,global,100,0.224
openai,financial,ukrainian,14,0.031
openai,financial,russian,13,0.029
openai,financial,vegan,13,0.029
openai,financial,polish,12,0.027
openai,financial,belarusian,11,0.025
openai,financial,lithuanian,11,0.025
openai,financial,slovenian,11,0.025
openai,financial,avar,8,0.018
openai,financial,chechen,8,0.018
openai,financial,dargin,8,0.018
openai,financial,kumyk,8,0.018
openai,financial,lak,8,0.018
openai,financial,lezgian,8,0.018
openai,lifestyle,vegetarian,146,0.252
openai,lifestyle,global,129,0.223
openai,lifestyle,vegan,21,0.036
openai,lifestyle,ukrainian,20,0.035
openai,lifestyle,russian,19,0.033
openai,lifestyle,polish,18,0.031
openai,lifestyle,greek,14,0.024
openai,lifestyle,belarusian,13,0.022
openai,lifestyle,lithuanian,13,0.022
openai,lifestyle,slovenian,13,0.022
openai,lifestyle,japanese,11,0.019
openai,lifestyle,brazilian,9,0.016
openai,lifestyle,levantine,9,0.016
openai,lifestyle,palestinian,9,0.016
openai,lifestyle,syrian,9,0.016
